,file_name,game_age,game_cat,game_fans,game_players,game_time,game_weight
6663,html_files_games\_boardgame_3966_succession-wars.html,Age: 10+,"Rank: Overall 6,323 War 1,472",35,2–5 Players,240 Min,2.97 / 5
6664,html_files_games\_boardgame_3967_battlefleet-gothic.html,Age: 12+,"Rank: Overall 1,913 War 366 Thematic 362",87,2–4 Players,180 Min,2.91 / 5
6665,html_files_games\_boardgame_39683_gates-loyang.html,Age: 10+,Rank: Overall 258 Strategy 174,343,1–4 Players,60–120 Min,3.14 / 5
6666,html_files_games\_boardgame_39684_merkator.html,Age: 12+,Rank: Overall 893 Strategy 488,74,1–4 Players,45–90 Min,2.97 / 5
6667,html_files_games\_boardgame_39704_emu-ranchers.html,Age: ––,,10,2 Players,15 Min,1.57 / 5
6668,html_files_games\_boardgame_39710_tien-zi-que.html,Age: 8+,,7,2 Players,20 Min,1.67 / 5
6669,html_files_games\_boardgame_3972_catan-portable-edition.html,Age: 10+,"Rank: Overall 1,668 Strategy 865 Family 438",15,3–4 Players,90 Min,2.25 / 5
6670,html_files_games\_boardgame_3977_strong-stuff.html,Age: 5+,"Rank: Overall 6,224 Children's 92",8,2–6 Players,20 Min,1.00 / 5
6671,html_files_games\_boardgame_39798_deadlands-battle-slaughter-gulch.html,Age: ––,,47,2–6 Players,60 Min,2.91 / 5
6672,html_files_games\_boardgame_397_diskwars.html,Age: 10+,"Rank: Overall 6,538 Customizable 184",23,2–8 Players,90 Min,2.38 / 5
6673,html_files_games\_boardgame_39813_qwirkle-cubes.html,Age: 6+,"Rank: Overall 2,195 Family 586",27,2–4 Players,45 Min,1.63 / 5
6674,html_files_games\_boardgame_39832_sumeria.html,Age: 10+,"Rank: Overall 2,785 Strategy 1,147",22,3–4 Players,30–60 Min,2.26 / 5
6675,html_files_games\_boardgame_39856_dixit.html,Age: 8+,Rank: Overall 216 Party 16,"1,481",3–6 Players,30 Min,1.24 / 5
6676,html_files_games\_boardgame_3985_crisis-korea-1995.html,Age: 12+,,7,2–4 Players,360 Min,4.33 / 5
6677,html_files_games\_boardgame_39862_flapjacks-sasquatches.html,Age: 8+,"Rank: Overall 6,514",26,2–8 Players,20 Min,1.50 / 5
6678,html_files_games\_boardgame_3986_battle-germany.html,Age: 12+,"Rank: Overall 2,410 War 276",43,2–4 Players,180 Min,2.11 / 5
6679,html_files_games\_boardgame_398_wildlife-safari.html,Age: 7+,"Rank: Overall 1,400 Family 375",39,2–5 Players,20–30 Min,1.30 / 5
6680,html_files_games\_boardgame_39927_last-train-wensleydale.html,Age: 13+,"Rank: Overall 1,488 Strategy 708",23,3–4 Players,120 Min,3.26 / 5
6681,html_files_games\_boardgame_3992_advanced-tobruk.html,Age: 10+,"Rank: Overall 3,783 War 445",32,2 Players,180 Min,4.13 / 5
6682,html_files_games\_boardgame_39932_chariots-fire.html,Age: ––,"Rank: Overall 3,395 War 388",32,2 Players,120 Min,3.57 / 5
6683,html_files_games\_boardgame_39938_carson-city.html,Age: 12+,Rank: Overall 373 Strategy 237,306,2–5 Players,90 Min,3.18 / 5
